epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,661.147,0.95355,0.59266,0.8721,0.75387,0.55295,0.62311,0.43842,0.86362,0.51529,0.84815,0.005842,0.005842,0.005842
44,825.005,0.94536,0.59049,0.87154,0.79274,0.52622,0.62972,0.43977,0.86343,0.51238,0.84772,0.005743,0.005743,0.005743
45,985.307,0.94516,0.58917,0.87127,0.76365,0.54887,0.62868,0.43951,0.86287,0.51124,0.84769,0.005644,0.005644,0.005644
46,1133,0.94601,0.58763,0.87067,0.74736,0.56228,0.62379,0.44041,0.86054,0.51,0.84707,0.005545,0.005545,0.005545
47,1290.78,0.94401,0.58613,0.86952,0.77368,0.53711,0.60952,0.43412,0.86019,0.5098,0.84664,0.005446,0.005446,0.005446
48,1446.39,0.94473,0.5837,0.87075,0.74945,0.50922,0.59785,0.4226,0.85899,0.50854,0.84611,0.005347,0.005347,0.005347
49,1607,0.94103,0.58275,0.86979,0.77683,0.50428,0.58856,0.41552,0.85852,0.5076,0.84606,0.005248,0.005248,0.005248
50,1767.67,0.93898,0.58109,0.87008,0.77734,0.50515,0.59286,0.41667,0.85771,0.50599,0.8457,0.005149,0.005149,0.005149
51,1928.39,0.93532,0.57736,0.86856,0.67239,0.53168,0.59178,0.41537,0.85631,0.50461,0.84568,0.00505,0.00505,0.00505
52,2089.62,0.94096,0.5787,0.86794,0.7386,0.52333,0.59895,0.41996,0.85409,0.5028,0.84467,0.004951,0.004951,0.004951
53,2249.78,0.92998,0.5712,0.86724,0.76141,0.51615,0.59962,0.42135,0.85295,0.50116,0.84427,0.004852,0.004852,0.004852
54,2410.23,0.93463,0.57383,0.86764,0.72372,0.54358,0.60926,0.43178,0.85231,0.50028,0.84425,0.004753,0.004753,0.004753
55,2570.66,0.92851,0.56962,0.86579,0.73186,0.54331,0.61342,0.43319,0.8519,0.50064,0.84444,0.004654,0.004654,0.004654
56,2730.87,0.92977,0.56978,0.86565,0.74887,0.52152,0.60742,0.42868,0.8511,0.49992,0.84429,0.004555,0.004555,0.004555
57,2891.31,0.92471,0.565,0.86488,0.75188,0.54998,0.61707,0.43578,0.85038,0.49927,0.84416,0.004456,0.004456,0.004456
58,3051.71,0.9215,0.56362,0.86485,0.78209,0.53785,0.62191,0.43762,0.85048,0.49857,0.84424,0.004357,0.004357,0.004357
59,3212.13,0.92821,0.56422,0.86543,0.7338,0.54871,0.61756,0.43324,0.84976,0.49758,0.84425,0.004258,0.004258,0.004258
60,3373.94,0.9256,0.56279,0.86415,0.69794,0.56558,0.61602,0.43208,0.84955,0.49711,0.84405,0.004159,0.004159,0.004159
61,3531.39,0.921,0.5604,0.86458,0.73493,0.55356,0.61826,0.43311,0.8491,0.49682,0.84401,0.00406,0.00406,0.00406
62,3691.58,0.919,0.55909,0.86314,0.77903,0.53144,0.62279,0.43722,0.84873,0.49606,0.8439,0.003961,0.003961,0.003961
63,3851.86,0.91807,0.5575,0.86296,0.73843,0.54379,0.61649,0.43343,0.84796,0.49525,0.84359,0.003862,0.003862,0.003862
64,4012.16,0.91647,0.55542,0.8633,0.71579,0.56025,0.61529,0.43165,0.84743,0.49465,0.84336,0.003763,0.003763,0.003763
65,4172.62,0.9121,0.55322,0.86181,0.72319,0.55941,0.61696,0.43516,0.84722,0.49421,0.84324,0.003664,0.003664,0.003664
66,4332.81,0.91142,0.55121,0.86185,0.75518,0.52589,0.61503,0.43313,0.84658,0.49369,0.84306,0.003565,0.003565,0.003565
67,4493.25,0.90745,0.54953,0.86128,0.75857,0.52728,0.61546,0.43411,0.84607,0.49341,0.84287,0.003466,0.003466,0.003466
68,4656.26,0.90609,0.54661,0.86041,0.75135,0.53113,0.61691,0.43554,0.84567,0.49305,0.84277,0.003367,0.003367,0.003367
69,4816.64,0.90743,0.5448,0.86028,0.74297,0.53019,0.61508,0.43348,0.8453,0.49268,0.84267,0.003268,0.003268,0.003268
70,4976.74,0.90242,0.54327,0.85998,0.73537,0.53527,0.61489,0.43309,0.84479,0.49194,0.84269,0.003169,0.003169,0.003169
71,5135.88,0.89993,0.54052,0.86048,0.73172,0.55972,0.62085,0.43631,0.84466,0.49156,0.8426,0.00307,0.00307,0.00307
72,5291.07,0.90402,0.54202,0.85906,0.72253,0.56685,0.62188,0.43874,0.84411,0.49118,0.84245,0.002971,0.002971,0.002971
73,5451.29,0.89889,0.53852,0.85911,0.72168,0.56734,0.62195,0.43875,0.84394,0.49109,0.84239,0.002872,0.002872,0.002872
74,5611.13,0.8966,0.53642,0.85925,0.73279,0.56218,0.62183,0.43892,0.84382,0.49074,0.84245,0.002773,0.002773,0.002773
75,5770.96,0.89596,0.53647,0.85769,0.73842,0.56066,0.62137,0.43841,0.84349,0.49036,0.84227,0.002674,0.002674,0.002674
76,5930.56,0.89347,0.53315,0.85798,0.73978,0.56233,0.62213,0.43925,0.84336,0.48995,0.84218,0.002575,0.002575,0.002575
77,6090.42,0.89437,0.53232,0.85814,0.74473,0.56214,0.62365,0.44003,0.84303,0.48929,0.84213,0.002476,0.002476,0.002476
78,6248.93,0.89359,0.53172,0.85751,0.74227,0.562,0.62412,0.44032,0.84279,0.4889,0.84212,0.002377,0.002377,0.002377
79,6404.06,0.8948,0.53349,0.85733,0.73863,0.56356,0.62381,0.44048,0.84259,0.48856,0.8421,0.002278,0.002278,0.002278
80,6560.42,0.88858,0.52797,0.85683,0.74457,0.55883,0.62438,0.44117,0.84242,0.48809,0.84203,0.002179,0.002179,0.002179
81,6719.61,0.89036,0.52646,0.857,0.74648,0.55699,0.62981,0.44479,0.84199,0.48782,0.84196,0.00208,0.00208,0.00208
82,6878.98,0.88777,0.5253,0.85672,0.74784,0.55709,0.63043,0.4463,0.8418,0.48741,0.84187,0.001981,0.001981,0.001981
83,7038.19,0.88687,0.52509,0.85613,0.74921,0.55567,0.63107,0.44675,0.84166,0.48719,0.84179,0.001882,0.001882,0.001882
84,7197.57,0.88857,0.52463,0.85609,0.75172,0.55398,0.63113,0.4463,0.84148,0.48686,0.8417,0.001783,0.001783,0.001783
